# Bond Length (4C, 14C) along IRC
# X-Axis:  Intrinsic Reaction Coordinate
# Y-Axis:  Bond Length (Angstroms)
#                  X                   Y
        0.0000000000        2.6464607076
        0.0731500000        2.6366016284
        0.1455400000        2.6271969842
        0.2186700000        2.6171421433
        0.2918000000        2.6068315963
        0.3649300000        2.5963193985
        0.4380600000        2.5856252139
        0.5112000000        2.5747654987
        0.5843300000        2.5637478729
        0.6574700000        2.5525795031
        0.7306000000        2.5412690498
        0.8037400000        2.5298197534
        0.8768700000        2.5182381601
        0.9500100000        2.5065308900
        1.0231400000        2.4947007237
        1.0962800000        2.4827543425
        1.1694100000        2.4706946776
        1.2425500000        2.4585299183
        1.3156800000        2.4462597193
        1.3888200000        2.4338920352
        1.4619600000        2.4214276540
        1.5350900000        2.4088758732
        1.6082300000        2.3962367317
        1.6813600000        2.3835151893
        1.7545000000        2.3707151481
        1.8276300000        2.3578396078
        1.9007700000        2.3448944094
        1.9739100000        2.3318818852
        2.0470400000        2.3188053603
        2.1201800000        2.3056677025
        2.1933100000        2.2924736576
        2.2664500000        2.2792224691
        2.3395900000        2.2659241950
        2.4127200000        2.2525785497
        2.4858600000        2.2391893290
        2.5590000000        2.2257597136
        2.6321300000        2.2122914316
        2.7052700000        2.1987906619
        2.7784000000        2.1852554402
        2.8515400000        2.1716924406
        2.9246800000        2.1581027165
        2.9978100000        2.1444897224
        3.0709500000        2.1308557566
        3.1440900000        2.1172028468
        3.2172200000        2.1035357743
        3.2903600000        2.0898565566
        3.3635000000        2.0761667711
        3.4366300000        2.0624702097
        3.5097700000        2.0487706140
        3.5829100000        2.0350698198
        3.6560400000        2.0213733200
        3.7291800000        2.0076801752
        3.8023200000        1.9939965818
        3.8754500000        1.9803253324
        3.9485900000        1.9666707681
        4.0217300000        1.9530383545
        4.0948600000        1.9394293421
        4.1680000000        1.9258497246
        4.2411400000        1.9123064220
        4.3142700000        1.8988024347
        4.3874100000        1.8853452060
        4.4605500000        1.8719435189
        4.5336800000        1.8586012145
        4.6068200000        1.8453280045
        4.6799600000        1.8321368081
        4.7530900000        1.8190361182
        4.8262300000        1.8060380302
        4.8993700000        1.7931586811
        4.9725100000        1.7804159593
        5.0456400000        1.7678270096
        5.1187800000        1.7554162629
        5.1919100000        1.7432102648
        5.2650500000        1.7312382523
        5.3381900000        1.7195376523
        5.4113200000        1.7081483401
        5.4844600000        1.6971193566
        5.5575900000        1.6865038704
        5.6307200000        1.6763605113
        5.7038500000        1.6667525366
        5.7769800000        1.6577417810
        5.8501100000        1.6493898559
        5.9232400000        1.6417419131
        5.9963600000        1.6348284002
        6.0694900000        1.6286554763
        6.1426200000        1.6232056313
        6.2157400000        1.6184350284
        6.2888700000        1.6142861506
        6.3620000000        1.6106866516
        6.4351300000        1.6075658275
        6.5082600000        1.6048541433
        6.5813900000        1.6024872657
        6.6545200000        1.6003909197
        6.7276500000        1.5985512245
        6.8007800000        1.5969286447
        6.8739200000        1.5954912314
        6.9470500000        1.5942081782
        7.0201800000        1.5930618721
        7.0933100000        1.5920356449
        7.1664400000        1.5911162201
        7.2395800000        1.5902898481
        7.3127100000        1.5895474325
        7.3858400000        1.5888807524
        7.4589800000        1.5882806371
        7.5321100000        1.5877387478
        7.6052500000        1.5872490960
        7.6783800000        1.5868039178
        7.7515200000        1.5863990195
        7.8246500000        1.5860268063
        7.8977900000        1.5856835780
        7.9709200000        1.5853660569
        8.0440600000        1.5850685394
        8.1171900000        1.5847887736
        8.1903300000        1.5845238608
        8.2634600000        1.5842689728
        8.3365900000        1.5840251690
        8.4097300000        1.5837890336
        8.4828600000        1.5835571638
        8.5559900000        1.5833324047
        8.6291300000        1.5831094424
        8.7022600000        1.5828912956
        8.7753900000        1.5826743343
        8.8485200000        1.5824592618
        8.9216600000        1.5822467699
        8.9947900000        1.5820361410
        9.0679200000        1.5818270910
