# Bond Length (4C, 14C) along IRC
# X-Axis:  Intrinsic Reaction Coordinate
# Y-Axis:  Bond Length (Angstroms)
#                  X                   Y
        0.0000000000        2.8973269501
        0.0907800000        2.8928467733
        0.1815300000        2.8882832626
        0.2722900000        2.8836382070
        0.3630500000        2.8789081729
        0.4538100000        2.8740759570
        0.5445700000        2.8691177750
        0.6353300000        2.8640103804
        0.7261000000        2.8587231947
        0.8168600000        2.8532213763
        0.9076200000        2.8474620990
        0.9983800000        2.8413934602
        1.0891300000        2.8349505022
        1.1798800000        2.8280555897
        1.2706200000        2.8206143680
        1.3613500000        2.8125270042
        1.4520500000        2.8036937406
        1.5427200000        2.7940656977
        1.6333400000        2.7837115787
        1.7239300000        2.7728650574
        1.8145400000        2.7618757356
        1.9051900000        2.7510457246
        1.9958800000        2.7405299368
        2.0866000000        2.7303519879
        2.1773500000        2.7204618206
        2.2681100000        2.7107831230
        2.3588700000        2.7012524061
        2.4496300000        2.6917981015
        2.5403900000        2.6824070448
        2.6310600000        2.6729506245
        2.7215300000        2.6634542133
        2.8119200000        2.6530586666
